,popularity,title,vote_average,vote_count,vote_total,runtime_minutes,genre,production_budget,worldwide_gross,worldwide_profit,release_date,percent_returns
0,28.734,How to Train Your Dragon,7.7,7610,58597.0,98.0,Action,165000000,494870992,329870992,2010-03-26,299.9218133333333
1,28.734,How to Train Your Dragon,7.7,7610,58597.0,98.0,Adventure,165000000,494870992,329870992,2010-03-26,299.9218133333333
2,28.734,How to Train Your Dragon,7.7,7610,58597.0,98.0,Animation,165000000,494870992,329870992,2010-03-26,299.9218133333333
3,28.515,Iron Man 2,6.8,12368,84102.4,124.0,Action,170000000,621156389,451156389,2010-05-07,365.3861111764706
4,28.515,Iron Man 2,6.8,12368,84102.4,124.0,Adventure,170000000,621156389,451156389,2010-05-07,365.3861111764706
5,28.515,Iron Man 2,6.8,12368,84102.4,124.0,Sci-Fi,170000000,621156389,451156389,2010-05-07,365.3861111764706
6,27.92,Inception,8.3,22186,184143.80000000002,148.0,Action,160000000,835524642,675524642,2010-07-16,522.20290125
7,27.92,Inception,8.3,22186,184143.80000000002,148.0,Adventure,160000000,835524642,675524642,2010-07-16,522.20290125
8,27.92,Inception,8.3,22186,184143.80000000002,148.0,Sci-Fi,160000000,835524642,675524642,2010-07-16,522.20290125
9,26.691,Percy Jackson & the Olympians: The Lightning Thief,6.1,4229,25796.899999999998,118.0,Adventure,95000000,223050874,128050874,2010-02-11,234.79039368421053
10,26.691,Percy Jackson & the Olympians: The Lightning Thief,6.1,4229,25796.899999999998,118.0,Family,95000000,223050874,128050874,2010-02-11,234.79039368421053
11,26.691,Percy Jackson & the Olympians: The Lightning Thief,6.1,4229,25796.899999999998,118.0,Fantasy,95000000,223050874,128050874,2010-02-11,234.79039368421053
12,26.526,Avatar,7.4,18676,138202.4,93.0,Horror,425000000,2776345279,2351345279,2009-12-18,653.2577127058823
13,24.445,Toy Story 3,7.7,8340,64218.0,103.0,Adventure,200000000,1068879522,868879522,2010-06-17,534.439761
14,24.445,Toy Story 3,7.7,8340,64218.0,103.0,Animation,200000000,1068879522,868879522,2010-06-17,534.439761
15,24.445,Toy Story 3,7.7,8340,64218.0,103.0,Comedy,200000000,1068879522,868879522,2010-06-17,534.439761
16,23.673,Despicable Me,7.2,10057,72410.40000000001,95.0,Animation,69000000,543464573,474464573,2010-07-09,787.6298159420289
17,23.673,Despicable Me,7.2,10057,72410.40000000001,95.0,Comedy,69000000,543464573,474464573,2010-07-09,787.6298159420289
18,23.673,Despicable Me,7.2,10057,72410.40000000001,95.0,Family,69000000,543464573,474464573,2010-07-09,787.6298159420289
19,22.855,Megamind,6.8,3635,24718.0,95.0,Action,130000000,321887208,191887208,2010-11-04,247.6055446153846
20,22.855,Megamind,6.8,3635,24718.0,95.0,Animation,130000000,321887208,191887208,2010-11-04,247.6055446153846
21,22.855,Megamind,6.8,3635,24718.0,95.0,Comedy,130000000,321887208,191887208,2010-11-04,247.6055446153846
22,22.02,Alice in Wonderland,6.6,8713,57505.799999999996,108.0,Adventure,200000000,1025491110,825491110,2010-03-05,512.745555
23,22.02,Alice in Wonderland,6.6,8713,57505.799999999996,108.0,Family,200000000,1025491110,825491110,2010-03-05,512.745555
24,22.02,Alice in Wonderland,6.6,8713,57505.799999999996,108.0,Fantasy,200000000,1025491110,825491110,2010-03-05,512.745555
25,0.6,Alice in Wonderland,6.0,1,6.0,108.0,Adventure,200000000,1025491110,825491110,2010-01-01,512.745555
26,0.6,Alice in Wonderland,6.0,1,6.0,108.0,Family,200000000,1025491110,825491110,2010-01-01,512.745555
27,0.6,Alice in Wonderland,6.0,1,6.0,108.0,Fantasy,200000000,1025491110,825491110,2010-01-01,512.745555
28,21.517,The Expendables,6.1,4647,28346.699999999997,103.0,Action,82000000,268268174,186268174,2010-08-03,327.1563097560976
29,21.517,The Expendables,6.1,4647,28346.699999999997,103.0,Adventure,82000000,268268174,186268174,2010-08-03,327.1563097560976
30,21.517,The Expendables,6.1,4647,28346.699999999997,103.0,Thriller,82000000,268268174,186268174,2010-08-03,327.1563097560976
31,21.511,Tangled,7.5,6407,48052.5,100.0,Adventure,260000000,586477240,326477240,2010-11-24,225.5681692307692
32,21.511,Tangled,7.5,6407,48052.5,100.0,Animation,260000000,586477240,326477240,2010-11-24,225.5681692307692
33,21.511,Tangled,7.5,6407,48052.5,100.0,Comedy,260000000,586477240,326477240,2010-11-24,225.5681692307692
34,20.34,The Twilight Saga: Eclipse,6.0,4909,29454.0,124.0,Adventure,68000000,706102828,638102828,2010-06-23,1038.3865117647058
35,20.34,The Twilight Saga: Eclipse,6.0,4909,29454.0,124.0,Drama,68000000,706102828,638102828,2010-06-23,1038.3865117647058
36,20.34,The Twilight Saga: Eclipse,6.0,4909,29454.0,124.0,Fantasy,68000000,706102828,638102828,2010-06-23,1038.3865117647058
37,18.985,The Book of Eli,6.7,3495,23416.5,118.0,Action,80000000,158750817,78750817,2010-01-11,198.43852125
38,18.985,The Book of Eli,6.7,3495,23416.5,118.0,Adventure,80000000,158750817,78750817,2010-01-11,198.43852125
39,18.985,The Book of Eli,6.7,3495,23416.5,118.0,Drama,80000000,158750817,78750817,2010-01-11,198.43852125
40,18.06,Shutter Island,8.1,12625,102262.5,138.0,Mystery,80000000,299461782,219461782,2010-02-18,374.3272275
41,18.06,Shutter Island,8.1,12625,102262.5,138.0,Thriller,80000000,299461782,219461782,2010-02-18,374.3272275
42,17.713,Knight and Day,6.0,2494,14964.0,109.0,Action,117000000,258751370,141751370,2010-06-23,221.15501709401707
43,17.713,Knight and Day,6.0,2494,14964.0,109.0,Adventure,117000000,258751370,141751370,2010-06-23,221.15501709401707
44,17.713,Knight and Day,6.0,2494,14964.0,109.0,Comedy,117000000,258751370,141751370,2010-06-23,221.15501709401707
45,17.382,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,3196,20134.8,113.0,Adventure,155000000,418186950,263186950,2010-12-10,269.7980322580645
46,17.382,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,3196,20134.8,113.0,Family,155000000,418186950,263186950,2010-12-10,269.7980322580645
47,17.382,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,3196,20134.8,113.0,Fantasy,155000000,418186950,263186950,2010-12-10,269.7980322580645
48,17.174,Step Up 3D,6.7,1160,7772.0,107.0,Drama,30000000,165889117,135889117,2010-08-06,552.9637233333333
